gene	comparison	biological_replicate	numerator_CPM	denominator_CPM	log2_ratio	ratio_status
INTS12	single_vs_control	B	24.1181	15.4649	0.6411187530078452	both_positive_descriptive_only
INTS12	single_vs_control	E	17.736	14.4262	0.29798934521359405	both_positive_descriptive_only
INTS12	single_vs_control	M	18.5651	20.9147	-0.1719242179245925	both_positive_descriptive_only
INTS12	dual_vs_control	B	18.2218	15.4649	0.23666797497929645	both_positive_descriptive_only
INTS12	dual_vs_control	E	18.75	14.4262	0.3781992655042548	both_positive_descriptive_only
INTS12	dual_vs_control	M	21.0936	20.9147	0.012288033705411162	both_positive_descriptive_only
INTS12	dual_vs_single	B	18.2218	24.1181	-0.4044507780285487	both_positive_descriptive_only
INTS12	dual_vs_single	E	18.75	17.736	0.08020992029066072	both_positive_descriptive_only
INTS12	dual_vs_single	M	21.0936	18.5651	0.18421225163000368	both_positive_descriptive_only
KCNA1	single_vs_control	B				gene_absent_from_processed_table
KCNA1	single_vs_control	E				gene_absent_from_processed_table
KCNA1	single_vs_control	M				gene_absent_from_processed_table
KCNA1	dual_vs_control	B				gene_absent_from_processed_table
KCNA1	dual_vs_control	E				gene_absent_from_processed_table
KCNA1	dual_vs_control	M				gene_absent_from_processed_table
KCNA1	dual_vs_single	B				gene_absent_from_processed_table
KCNA1	dual_vs_single	E				gene_absent_from_processed_table
KCNA1	dual_vs_single	M				gene_absent_from_processed_table
KCNA5	single_vs_control	B				gene_absent_from_processed_table
KCNA5	single_vs_control	E				gene_absent_from_processed_table
KCNA5	single_vs_control	M				gene_absent_from_processed_table
KCNA5	dual_vs_control	B				gene_absent_from_processed_table
KCNA5	dual_vs_control	E				gene_absent_from_processed_table
KCNA5	dual_vs_control	M				gene_absent_from_processed_table
KCNA5	dual_vs_single	B				gene_absent_from_processed_table
KCNA5	dual_vs_single	E				gene_absent_from_processed_table
KCNA5	dual_vs_single	M				gene_absent_from_processed_table
KCNA6	single_vs_control	B				gene_absent_from_processed_table
KCNA6	single_vs_control	E				gene_absent_from_processed_table
KCNA6	single_vs_control	M				gene_absent_from_processed_table
KCNA6	dual_vs_control	B				gene_absent_from_processed_table
KCNA6	dual_vs_control	E				gene_absent_from_processed_table
KCNA6	dual_vs_control	M				gene_absent_from_processed_table
KCNA6	dual_vs_single	B				gene_absent_from_processed_table
KCNA6	dual_vs_single	E				gene_absent_from_processed_table
KCNA6	dual_vs_single	M				gene_absent_from_processed_table
LCK	single_vs_control	B	431.971	509.356	-0.23773987826313805	both_positive_descriptive_only
LCK	single_vs_control	E	416.425	466.605	-0.16414508371999317	both_positive_descriptive_only
LCK	single_vs_control	M	170.548	336.029	-0.9784079092482995	both_positive_descriptive_only
LCK	dual_vs_control	B	485.987	509.356	-0.067756617110474	both_positive_descriptive_only
LCK	dual_vs_control	E	345.585	466.605	-0.4331611677244642	both_positive_descriptive_only
LCK	dual_vs_control	M	114.797	336.029	-1.5495008055217043	both_positive_descriptive_only
LCK	dual_vs_single	B	485.987	431.971	0.16998326115266413	both_positive_descriptive_only
LCK	dual_vs_single	E	345.585	416.425	-0.26901608400447125	both_positive_descriptive_only
LCK	dual_vs_single	M	114.797	170.548	-0.5710928962734048	both_positive_descriptive_only
LOC119867197	single_vs_control	B				gene_absent_from_processed_table
LOC119867197	single_vs_control	E				gene_absent_from_processed_table
LOC119867197	single_vs_control	M				gene_absent_from_processed_table
LOC119867197	dual_vs_control	B				gene_absent_from_processed_table
LOC119867197	dual_vs_control	E				gene_absent_from_processed_table
LOC119867197	dual_vs_control	M				gene_absent_from_processed_table
LOC119867197	dual_vs_single	B				gene_absent_from_processed_table
LOC119867197	dual_vs_single	E				gene_absent_from_processed_table
LOC119867197	dual_vs_single	M				gene_absent_from_processed_table
LOC119872513	single_vs_control	B				gene_absent_from_processed_table
LOC119872513	single_vs_control	E				gene_absent_from_processed_table
LOC119872513	single_vs_control	M				gene_absent_from_processed_table
LOC119872513	dual_vs_control	B				gene_absent_from_processed_table
LOC119872513	dual_vs_control	E				gene_absent_from_processed_table
LOC119872513	dual_vs_control	M				gene_absent_from_processed_table
LOC119872513	dual_vs_single	B				gene_absent_from_processed_table
LOC119872513	dual_vs_single	E				gene_absent_from_processed_table
LOC119872513	dual_vs_single	M				gene_absent_from_processed_table
LOC119876429	single_vs_control	B				gene_absent_from_processed_table
LOC119876429	single_vs_control	E				gene_absent_from_processed_table
LOC119876429	single_vs_control	M				gene_absent_from_processed_table
LOC119876429	dual_vs_control	B				gene_absent_from_processed_table
LOC119876429	dual_vs_control	E				gene_absent_from_processed_table
LOC119876429	dual_vs_control	M				gene_absent_from_processed_table
LOC119876429	dual_vs_single	B				gene_absent_from_processed_table
LOC119876429	dual_vs_single	E				gene_absent_from_processed_table
LOC119876429	dual_vs_single	M				gene_absent_from_processed_table
NCF2	single_vs_control	B	8.36519	20.1082	-1.2653137296087262	both_positive_descriptive_only
NCF2	single_vs_control	E	9.94775	11.068	-0.15395239275536082	both_positive_descriptive_only
NCF2	single_vs_control	M	27.9903	21.4182	0.386089709680722	both_positive_descriptive_only
NCF2	dual_vs_control	B	10.604	20.1082	-0.9231753682200537	both_positive_descriptive_only
NCF2	dual_vs_control	E	7.86983	11.068	-0.49199017223110353	both_positive_descriptive_only
NCF2	dual_vs_control	M	31.8841	21.4182	0.5739999183630139	both_positive_descriptive_only
NCF2	dual_vs_single	B	10.604	8.36519	0.3421383613886725	both_positive_descriptive_only
NCF2	dual_vs_single	E	7.86983	9.94775	-0.3380377794757427	both_positive_descriptive_only
NCF2	dual_vs_single	M	31.8841	27.9903	0.18791020868229188	both_positive_descriptive_only
NIBAN1	single_vs_control	B	193.671	203.161	-0.06901553716548911	both_positive_descriptive_only
NIBAN1	single_vs_control	E	318.382	290.612	0.131664497974008	both_positive_descriptive_only
NIBAN1	single_vs_control	M	337.394	333.367	0.017323018876522447	both_positive_descriptive_only
NIBAN1	dual_vs_control	B	239.785	203.161	0.23911793196153153	both_positive_descriptive_only
NIBAN1	dual_vs_control	E	250.45	290.612	-0.21457166461325253	both_positive_descriptive_only
NIBAN1	dual_vs_control	M	285.268	333.367	-0.2247933776417664	both_positive_descriptive_only
NIBAN1	dual_vs_single	B	239.785	193.671	0.3081334691270206	both_positive_descriptive_only
NIBAN1	dual_vs_single	E	250.45	318.382	-0.34623616258726037	both_positive_descriptive_only
NIBAN1	dual_vs_single	M	285.268	337.394	-0.24211639651828867	both_positive_descriptive_only
NPNT	single_vs_control	B	0.0862391	0.0731203	0.23807013251966164	both_positive_descriptive_only
NPNT	single_vs_control	E	0.0	0.047299		zero_value_no_pseudocount
NPNT	single_vs_control	M	0.0357019	0.232385	-2.7024441891745665	both_positive_descriptive_only
NPNT	dual_vs_control	B	0.152357	0.0731203	1.0591118911195505	both_positive_descriptive_only
NPNT	dual_vs_control	E	0.0	0.047299		zero_value_no_pseudocount
NPNT	dual_vs_control	M	0.149866	0.232385	-0.6328438314465995	both_positive_descriptive_only
NPNT	dual_vs_single	B	0.152357	0.0862391	0.8210417585998889	both_positive_descriptive_only
NPNT	dual_vs_single	E	0.0	0.0		zero_value_no_pseudocount
NPNT	dual_vs_single	M	0.149866	0.0357019	2.069600357727967	both_positive_descriptive_only
NTF3	single_vs_control	B				gene_absent_from_processed_table
NTF3	single_vs_control	E				gene_absent_from_processed_table
NTF3	single_vs_control	M				gene_absent_from_processed_table
NTF3	dual_vs_control	B				gene_absent_from_processed_table
NTF3	dual_vs_control	E				gene_absent_from_processed_table
NTF3	dual_vs_control	M				gene_absent_from_processed_table
NTF3	dual_vs_single	B				gene_absent_from_processed_table
NTF3	dual_vs_single	E				gene_absent_from_processed_table
NTF3	dual_vs_single	M				gene_absent_from_processed_table
PLEKHG6	single_vs_control	B	0.459942	0.0		zero_value_no_pseudocount
PLEKHG6	single_vs_control	E	0.318611	0.0945981	1.7519129640849127	both_positive_descriptive_only
PLEKHG6	single_vs_control	M	0.0357019	0.0		zero_value_no_pseudocount
PLEKHG6	dual_vs_control	B	0.0609426	0.0		zero_value_no_pseudocount
PLEKHG6	dual_vs_control	E	0.172018	0.0945981	0.8626764242597112	both_positive_descriptive_only
PLEKHG6	dual_vs_control	M	0.187332	0.0		zero_value_no_pseudocount
PLEKHG6	dual_vs_single	B	0.0609426	0.459942	-2.915928988386676	both_positive_descriptive_only
PLEKHG6	dual_vs_single	E	0.172018	0.318611	-0.8892365398252018	both_positive_descriptive_only
PLEKHG6	dual_vs_single	M	0.187332	0.0357019	2.3915246019835217	both_positive_descriptive_only
PPA2	single_vs_control	B	29.595	27.8538	0.0874792937711256	both_positive_descriptive_only
PPA2	single_vs_control	E	33.6717	35.4495	-0.0742287179410526	both_positive_descriptive_only
PPA2	single_vs_control	M	20.058	29.4541	-0.5542907098697555	both_positive_descriptive_only
PPA2	dual_vs_control	B	29.7753	27.8538	0.09624188097484379	both_positive_descriptive_only
PPA2	dual_vs_control	E	33.3775	35.4495	-0.08688937921603786	both_positive_descriptive_only
PPA2	dual_vs_control	M	26.1472	29.4541	-0.17181200840830288	both_positive_descriptive_only
PPA2	dual_vs_single	B	29.7753	29.595	0.008762587203718128	both_positive_descriptive_only
PPA2	dual_vs_single	E	33.3775	33.6717	-0.012660661274985302	both_positive_descriptive_only
PPA2	dual_vs_single	M	26.1472	20.058	0.38247870146145235	both_positive_descriptive_only
RGL1	single_vs_control	B	2.75965	1.46241	0.916137464213346	both_positive_descriptive_only
RGL1	single_vs_control	E	1.45145	0.283794	2.3545788811776776	both_positive_descriptive_only
RGL1	single_vs_control	M	5.81941	3.60197	0.6920867277189439	both_positive_descriptive_only
RGL1	dual_vs_control	B	1.15791	1.46241	-0.3368247183188222	both_positive_descriptive_only
RGL1	dual_vs_control	E	2.58027	0.283794	3.1846060442261224	both_positive_descriptive_only
RGL1	dual_vs_control	M	5.6949	3.60197	0.660884343639115	both_positive_descriptive_only
RGL1	dual_vs_single	B	1.15791	2.75965	-1.2529621825321682	both_positive_descriptive_only
RGL1	dual_vs_single	E	2.58027	1.45145	0.8300271630484445	both_positive_descriptive_only
RGL1	dual_vs_single	M	5.6949	5.81941	-0.031202384079828994	both_positive_descriptive_only
SMG7	single_vs_control	B	173.167	140.21	0.3045747771686087	both_positive_descriptive_only
SMG7	single_vs_control	E	148.12	128.562	0.20430217675324033	both_positive_descriptive_only
SMG7	single_vs_control	M	149.552	144.507	0.049507824769285246	both_positive_descriptive_only
SMG7	dual_vs_control	B	148.854	140.21	0.08630874183168559	both_positive_descriptive_only
SMG7	dual_vs_control	E	148.236	128.562	0.20543157945330257	both_positive_descriptive_only
SMG7	dual_vs_control	M	162.863	144.507	0.17251950331305316	both_positive_descriptive_only
SMG7	dual_vs_single	B	148.854	173.167	-0.21826603533692304	both_positive_descriptive_only
SMG7	dual_vs_single	E	148.236	148.12	0.0011294027000624198	both_positive_descriptive_only
SMG7	dual_vs_single	M	162.863	149.552	0.12301167854376796	both_positive_descriptive_only
TBCK	single_vs_control	B	16.8166	17.6951	-0.07346386556995366	both_positive_descriptive_only
TBCK	single_vs_control	E	14.6561	17.0276	-0.21637385265719497	both_positive_descriptive_only
TBCK	single_vs_control	M	15.2804	16.0733	-0.07298384854916869	both_positive_descriptive_only
TBCK	dual_vs_control	B	17.7343	17.6951	0.00319247114995497	both_positive_descriptive_only
TBCK	dual_vs_control	E	16.2127	17.0276	-0.07075073320268035	both_positive_descriptive_only
TBCK	dual_vs_control	M	17.3845	16.0733	0.11313541563099763	both_positive_descriptive_only
TBCK	dual_vs_single	B	17.7343	16.8166	0.07665633671990868	both_positive_descriptive_only
TBCK	dual_vs_single	E	16.2127	14.6561	0.14562311945451448	both_positive_descriptive_only
TBCK	dual_vs_single	M	17.3845	15.2804	0.18611926418016628	both_positive_descriptive_only
TET2	single_vs_control	B	87.5626	86.9764	0.00969079704632472	both_positive_descriptive_only
TET2	single_vs_control	E	94.4514	93.2744	0.01809100628569394	both_positive_descriptive_only
TET2	single_vs_control	M	92.5399	94.7749	-0.03442948925725962	both_positive_descriptive_only
TET2	dual_vs_control	B	87.392	86.9764	0.006877223102183775	both_positive_descriptive_only
TET2	dual_vs_control	E	90.5239	93.2744	-0.043182433826083375	both_positive_descriptive_only
TET2	dual_vs_control	M	78.2295	94.7749	-0.2767922850810154	both_positive_descriptive_only
TET2	dual_vs_single	B	87.392	87.5626	-0.00281357394414092	both_positive_descriptive_only
TET2	dual_vs_single	E	90.5239	94.4514	-0.061273440111777426	both_positive_descriptive_only
TET2	dual_vs_single	M	78.2295	92.5399	-0.2423627958237558	both_positive_descriptive_only
TNFRSF1A	single_vs_control	B	18.0527	32.3557	-0.8418052637982532	both_positive_descriptive_only
TNFRSF1A	single_vs_control	E	34.0561	34.008	0.002039067379679604	both_positive_descriptive_only
TNFRSF1A	single_vs_control	M	9.38961	18.6295	-0.988451812580297	both_positive_descriptive_only
TNFRSF1A	dual_vs_control	B	30.4713	32.3557	-0.08656883839559147	both_positive_descriptive_only
TNFRSF1A	dual_vs_control	E	26.7919	34.008	-0.34407726774036196	both_positive_descriptive_only
TNFRSF1A	dual_vs_control	M	7.45582	18.6295	-1.3211500184130558	both_positive_descriptive_only
TNFRSF1A	dual_vs_single	B	30.4713	18.0527	0.7552364254026616	both_positive_descriptive_only
TNFRSF1A	dual_vs_single	E	26.7919	34.0561	-0.3461163351200417	both_positive_descriptive_only
TNFRSF1A	dual_vs_single	M	7.45582	9.38961	-0.33269820583275866	both_positive_descriptive_only
TSEN15	single_vs_control	B	9.08387	5.55715	0.7089618772630073	both_positive_descriptive_only
TSEN15	single_vs_control	E	8.99193	8.08813	0.1528246187975511	both_positive_descriptive_only
TSEN15	single_vs_control	M	8.46138	10.6897	-0.3372564827583549	both_positive_descriptive_only
TSEN15	dual_vs_control	B	8.04444	5.55715	0.5336468112803876	both_positive_descriptive_only
TSEN15	dual_vs_control	E	7.31078	8.08813	-0.1457808477076094	both_positive_descriptive_only
TSEN15	dual_vs_control	M	8.3925	10.6897	-0.34904882822261624	both_positive_descriptive_only
TSEN15	dual_vs_single	B	8.04444	9.08387	-0.17531506598261962	both_positive_descriptive_only
TSEN15	dual_vs_single	E	7.31078	8.99193	-0.2986054665051606	both_positive_descriptive_only
