sample	cohort	weight	frip	tss_enrichment	reads	lambda	path
SRR27376677	original71	0.618858	0.122369	2.426129	16731300	0.418678	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376677
SRR27376678	original71	0.553005	0.087633	2.350404	12177632	0.304781	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376678
SRR27376679	original71	0.240431	0.011105	1.318969	13752130	0.344172	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376679
SRR27376680	original71	0.448327	0.049756	2.098158	10925136	0.273455	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376680
SRR27376681	original71	0.265005	0.012093	1.438309	27557800	0.689631	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376681
SRR27376682	original71	0.509816	0.061411	2.326917	9757134	0.244165	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376682
SRR27376683	original71	0.46053	0.059865	2.084255	11100866	0.277842	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376683
SRR27376684	original71	0.544526	0.095796	2.244544	25992388	0.650383	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376684
SRR27376685	original71	0.697801	0.138626	2.709984	18952258	0.474206	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376685
SRR27376686	original71	0.477245	0.065921	2.124477	14100582	0.356518	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376686
SRR27376687	original71	0.20262	0.006166	1.16135	11385724	0.284961	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376687
SRR27376688	original71	0.748711	0.124509	3.080171	16576772	0.414763	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376688
SRR30799901	additional5	0.481959	0.069869	2.11878	31858200	1.311458	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR30799901
SRR30799902	additional5	0.604263	0.106327	2.47281	35119620	1.51486	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR30799902
SRR30799903	additional5	0.685836	0.12526	2.749886	54219674	2.326676	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR30799903
SRR30799904	additional5	0.588601	0.102548	2.420709	42714048	1.868415	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR30799904
SRR30799905	additional5	0.513641	0.07926	2.210891	50799322	2.191318	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR30799905
