gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC102153582	0	0	1	0	0	0	1	0	0
gene-PDE7B	3	12	5	3	1	14	19	5	27
gene-LOC111095400	0	0	0	0	0	0	0	0	0
gene-MTFR2	3397	1438	1168	1604	2100	844	1228	1465	942
gene-LOC106558619	6	0	0	4	3	2	1	4	7
gene-BCLAF1	8170	7021	5459	5550	6006	3775	5894	6958	5082
gene-LOC106558576	534	614	383	468	399	416	351	475	383
gene-MAP7	11	4	9	11	14	14	35	28	20
gene-LOC102154283	118	156	194	181	156	184	127	100	179
gene-MAP3K5	928	961	1065	1192	845	1115	802	607	991
gene-LOC102156750	0	2	2	3	10	11	2	1	2
gene-LOC119870737	30	16	23	15	17	21	17	22	3
gene-PEX7	781	974	754	743	519	618	545	551	598
gene-SLC35D3	0	0	0	6	0	0	2	2	0
gene-LOC100856045	0	0	0	0	0	0	0	0	0
gene-IL20RA	0	0	0	0	0	0	0	0	0
gene-LOC111090644	0	0	0	0	0	0	0	0	0
gene-LOC119870738	5	0	1	6	0	0	1	0	1
gene-IL22RA2	244	251	251	313	523	195	317	344	331
gene-LOC119869884	0	0	0	7	0	0	0	1	0
gene-LOC102155014	255	164	156	169	182	173	126	117	109
gene-IFNGR1	6704	6662	7413	8153	5459	7200	7284	5637	7664
gene-LOC102155165	9	0	0	111	64	81	24	4	17
gene-LOC111090647	0	0	0	0	0	2	23	16	13
gene-LOC100685599	0	0	0	0	0	0	0	0	0
gene-OLIG3	3	2	2	1	8	0	4	0	0
gene-LOC111090650	0	0	0	0	0	0	0	0	0
gene-LOC100685756	0	0	0	0	0	0	0	0	0
gene-LOC119870652	0	4	3	5	2	1	0	0	4
gene-TNFAIP3	3582	3690	2530	3518	2454	1598	5049	3274	4093
gene-LOC111090653	0	0	0	0	0	0	0	0	0
gene-LOC119870653	0	0	0	0	0	0	0	0	0
gene-PERP	414	505	130	449	1229	127	768	1217	206
gene-ARFGEF3	0	22	13	23	5	11	37	15	9
gene-LOC102156831	0	0	0	0	0	0	0	0	0
gene-LOC111095455	0	0	1	6	0	0	9	8	0
gene-LOC111095460	0	0	0	0	0	0	0	0	0
gene-HEBP2	0	0	0	0	0	5	2	1	0
gene-NHSL1	3	20	4	2	14	2	31	21	9
gene-FAM133B	92	91	113	92	79	78	71	76	52
gene-CCDC28A	294	391	318	323	174	171	439	275	356
gene-LOC100856236	0	1	2	0	0	0	2	0	0
gene-ECT2L	116	108	112	102	84	45	73	79	93
gene-LOC119870739	0	0	6	1	0	0	0	0	0
gene-REPS1	3192	2080	2032	1644	1748	1275	2267	2029	1776
gene-ABRACL	3780	5710	4078	3743	3111	3199	3165	3152	4018
gene-HECA	3959	6839	7250	5645	2538	4989	3763	2120	5567
gene-TXLNB	25	47	85	33	21	20	117	90	124
gene-CITED2	2070	2902	2518	2542	1747	1987	4696	3010	3594
gene-LOC102156887	0	0	0	1	0	0	2	0	0
gene-LOC106558610	0	1	0	0	0	0	0	0	0
gene-LOC106558606	0	0	0	0	0	0	4	2	0
gene-LOC111095494	0	0	2	2	0	0	1	4	0
gene-LOC119870740	5	6	2	7	2	14	10	5	15
gene-LOC119870654	0	0	0	0	0	0	0	0	0
gene-LOC111090654	0	0	0	0	0	0	0	1	0
gene-LOC611622	0	1	6	1	4	0	0	0	0
gene-LOC106558957	0	3	0	1	0	4	5	0	0
gene-LOC106558612	0	0	0	0	0	0	0	0	0
gene-LOC102157010	0	0	0	0	0	0	0	0	0
gene-LOC100686429	0	0	0	0	0	0	0	0	0
gene-LOC102157053	0	0	0	0	0	0	0	0	0
gene-NMBR	1	8	2	5	4	0	1	3	1
gene-GJE1	0	0	0	0	3	0	0	0	0
gene-VTA1	666	740	582	486	395	325	679	546	687
gene-ADGRG6	0	0	0	0	2	0	1	2	2
gene-LOC100686509	0	0	0	0	0	0	0	0	0
gene-HIVEP2	4771	4630	3972	3711	2572	2785	2413	1207	3610
