gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC119869951	0	0	0	0	0	0	0	0	0
gene-SGK1	3241	4528	2580	2254	2156	1410	3617	4699	2303
gene-LOC119869853	0	0	0	0	0	0	0	0	0
gene-LOC119870650	0	0	0	0	0	0	0	0	0
gene-LOC106558449	33	31	59	6	10	4	23	8	46
gene-LOC106559542	0	0	0	0	0	0	0	0	0
gene-LOC111095317	0	6	0	0	0	0	0	0	0
gene-LOC119870651	0	5	1	6	3	0	12	9	10
gene-ALDH8A1	142	187	78	73	49	74	217	130	57
gene-HBS1L	6741	6748	4635	5316	4749	3209	6145	5790	4396
gene-LOC100684930	0	0	0	0	0	0	0	0	0
gene-MYB	2409	1668	403	1280	2133	359	1712	2388	1211
gene-LOC111095371	8	17	1	3	6	6	11	13	7
gene-AHI1	2349	2093	2092	1916	1497	1292	3129	2684	2937
gene-LOC102156675	0	2	0	1	0	0	0	0	0
gene-LOC119870735	0	0	0	0	0	2	2	6	0
gene-LOC119870734	0	0	0	0	5	0	1	0	0
gene-LOC102153001	52	72	68	53	17	71	49	15	65
gene-LOC102152959	0	0	0	0	0	0	4	0	0
gene-LOC102153582	0	0	1	0	0	0	1	0	0
gene-PDE7B	3	20	23	6	3	26	49	13	70
gene-LOC111095400	0	0	3	0	0	2	0	0	0
gene-MTFR2	6801	2829	2222	3160	4187	1693	2377	2915	1947
gene-LOC106558619	13	0	2	10	9	2	4	10	10
gene-BCLAF1	15277	13498	10363	10484	11367	7067	11594	13325	9429
gene-LOC106558576	310	442	359	374	231	313	303	330	296
gene-MAP7	22	11	25	30	26	20	52	42	31
gene-LOC102154283	25	46	46	32	23	27	5	26	14
gene-MAP3K5	1534	1692	1902	2029	1522	1852	1438	1017	1707
gene-LOC102156750	0	7	3	15	17	22	2	9	3
gene-LOC119870737	37	20	48	13	14	39	25	22	6
gene-PEX7	1543	1977	1572	1450	1008	1176	1071	1095	1262
gene-SLC35D3	0	0	0	7	0	0	4	3	0
gene-LOC100856045	0	0	0	0	0	0	0	0	0
gene-IL20RA	0	0	0	0	0	0	0	0	0
