gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC100684262	0	0	0	3	1	0	1	0	1
gene-LOC119869880	0	0	0	0	0	0	0	0	0
gene-ALPK2	118	227	362	338	95	289	334	120	399
gene-LOC102151902	28	63	77	99	36	63	73	27	125
gene-LOC119881373	0	0	0	0	0	0	0	0	0
gene-MIR122	0	0	0	0	0	0	0	0	0
rna-NR_049246.1	0	0	0	0	0	0	0	0	0
gene-NEDD4L	747	667	601	546	567	471	995	885	818
gene-LOC119870720	0	0	0	0	0	0	0	0	0
gene-LOC119870721	0	0	0	0	0	0	0	0	0
gene-LOC111097471	0	0	0	0	0	0	0	0	0
gene-ATP8B1	69	147	119	56	14	71	857	453	630
gene-LOC111095132	0	15	3	7	2	2	87	49	68
gene-NARS1	4351	3281	2135	2886	3199	1642	3702	4457	2259
gene-FECH	769	676	558	1495	1260	1110	730	867	626
gene-ONECUT2	90	72	30	77	194	45	340	622	109
gene-LOC119870722	0	0	0	0	0	0	0	0	5
gene-ST8SIA3	1	0	0	5	0	2	3	1	2
gene-WDR7	1139	1163	901	908	747	612	1468	1234	1196
gene-LOC111095146	0	0	0	0	0	0	2	0	0
gene-LOC612779	7	9	9	3	1	3	2	5	6
gene-TXNL1	4532	3175	2508	2955	2870	1962	4089	4613	3188
gene-LOC119869865	0	0	0	1	0	0	3	2	0
gene-LOC111095152	0	0	0	0	0	0	0	0	0
gene-LOC111095155	0	0	0	0	0	0	0	0	0
gene-LOC111090613	0	0	0	0	0	0	0	0	0
gene-LOC102153304	0	0	0	0	0	0	0	0	0
gene-LOC111090614	0	0	0	0	0	0	0	0	0
gene-LOC119870639	0	0	0	0	0	0	0	0	0
gene-LOC111090615	0	0	0	0	0	0	0	0	0
gene-LOC102153337	0	0	0	0	0	0	0	0	0
gene-LOC119870640	0	0	0	0	0	0	0	0	0
gene-TCF4	125	207	396	69	30	107	1892	1152	928
gene-CCDC68	0	0	0	1	0	0	0	0	0
gene-LOC111095166	0	0	0	0	0	0	0	0	0
