gene_set	genes	metric	reprocessed_sample	published_sample	correlation
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	E_T_cell	0.170632350747783
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	M_B7H3_CAR_T	-0.4841227978683842
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	M_BC_CAR_T	-0.5936875552148471
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_BC_CAR_T	M_T_cell	-0.3697032321299136
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	B_B7H3_CAR_T	-0.22533070705681787
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	B_BC_CAR_T	0.27779827455840533
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	B_T_cell	0.9171086271159097
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	E_B7H3_CAR_T	0.11007702100851909
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	E_BC_CAR_T	-0.4314957456375601
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	E_T_cell	0.49113987569665724
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	M_B7H3_CAR_T	-0.329853289232047
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	M_BC_CAR_T	-0.5499306436516048
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	B_T_cell	M_T_cell	0.10492787887516015
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	B_B7H3_CAR_T	0.025036702498427384
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	B_BC_CAR_T	0.35883042014410405
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	B_T_cell	0.11650281923688993
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	E_B7H3_CAR_T	0.9051504798876906
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	E_BC_CAR_T	0.35026543182914366
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	E_T_cell	0.5555296227895684
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	M_B7H3_CAR_T	-0.6201459026537156
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	M_BC_CAR_T	-0.6526711030190168
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_B7H3_CAR_T	M_T_cell	-0.4233716816799476
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	B_B7H3_CAR_T	0.5317198189409489
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	B_BC_CAR_T	0.08686646809295008
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	B_T_cell	-0.41884688136807763
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	E_B7H3_CAR_T	0.35718227862642876
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	E_BC_CAR_T	0.9330756925862695
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	E_T_cell	-0.11382695446248174
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	M_B7H3_CAR_T	-0.45388216261514486
