published_symbol	reason
ENSCAFG00000002851	missing_exact_ROS_symbol
ENSCAFG00000002855	missing_exact_ROS_symbol
ENSCAFG00000002874	missing_exact_ROS_symbol
ENSCAFG00000002897	missing_exact_ROS_symbol
ENSCAFG00000002903	missing_exact_ROS_symbol
ENSCAFG00000002916	missing_exact_ROS_symbol
ENSCAFG00000002959	missing_exact_ROS_symbol
ENSCAFG00000003012	missing_exact_ROS_symbol
ENSCAFG00000003039	missing_exact_ROS_symbol
ENSCAFG00000003053	missing_exact_ROS_symbol
ENSCAFG00000003064	missing_exact_ROS_symbol
ENSCAFG00000003087	missing_exact_ROS_symbol
ENSCAFG00000003095	missing_exact_ROS_symbol
ENSCAFG00000003121	missing_exact_ROS_symbol
ENSCAFG00000003126	missing_exact_ROS_symbol
ENSCAFG00000003134	missing_exact_ROS_symbol
ENSCAFG00000003191	missing_exact_ROS_symbol
ENSCAFG00000003222	missing_exact_ROS_symbol
ENSCAFG00000003241	missing_exact_ROS_symbol
ENSCAFG00000003257	missing_exact_ROS_symbol
ENSCAFG00000003268	missing_exact_ROS_symbol
ENSCAFG00000003294	missing_exact_ROS_symbol
ENSCAFG00000003299	missing_exact_ROS_symbol
ENSCAFG00000003315	missing_exact_ROS_symbol
ENSCAFG00000003316	missing_exact_ROS_symbol
ENSCAFG00000003318	missing_exact_ROS_symbol
ENSCAFG00000003326	missing_exact_ROS_symbol
ENSCAFG00000003353	missing_exact_ROS_symbol
ENSCAFG00000003386	missing_exact_ROS_symbol
ENSCAFG00000003455	missing_exact_ROS_symbol
ENSCAFG00000003468	missing_exact_ROS_symbol
ENSCAFG00000003473	missing_exact_ROS_symbol
ENSCAFG00000003530	missing_exact_ROS_symbol
ENSCAFG00000003534	missing_exact_ROS_symbol
ENSCAFG00000003564	missing_exact_ROS_symbol
ENSCAFG00000003574	missing_exact_ROS_symbol
ENSCAFG00000003639	missing_exact_ROS_symbol
ENSCAFG00000003641	missing_exact_ROS_symbol
ENSCAFG00000003642	missing_exact_ROS_symbol
ENSCAFG00000003668	missing_exact_ROS_symbol
ENSCAFG00000003714	missing_exact_ROS_symbol
ENSCAFG00000003760	missing_exact_ROS_symbol
ENSCAFG00000003797	missing_exact_ROS_symbol
ENSCAFG00000003804	missing_exact_ROS_symbol
ENSCAFG00000003811	missing_exact_ROS_symbol
ENSCAFG00000003812	missing_exact_ROS_symbol
ENSCAFG00000003840	missing_exact_ROS_symbol
ENSCAFG00000003857	missing_exact_ROS_symbol
ENSCAFG00000003859	missing_exact_ROS_symbol
ENSCAFG00000003879	missing_exact_ROS_symbol
ENSCAFG00000003936	missing_exact_ROS_symbol
ENSCAFG00000003953	missing_exact_ROS_symbol
ENSCAFG00000003956	missing_exact_ROS_symbol
ENSCAFG00000003969	missing_exact_ROS_symbol
ENSCAFG00000003970	missing_exact_ROS_symbol
ENSCAFG00000004073	missing_exact_ROS_symbol
ENSCAFG00000004091	missing_exact_ROS_symbol
ENSCAFG00000004124	missing_exact_ROS_symbol
ENSCAFG00000004144	missing_exact_ROS_symbol
ENSCAFG00000004189	missing_exact_ROS_symbol
ENSCAFG00000004197	missing_exact_ROS_symbol
ENSCAFG00000004198	missing_exact_ROS_symbol
ENSCAFG00000004223	missing_exact_ROS_symbol
ENSCAFG00000004229	missing_exact_ROS_symbol
ENSCAFG00000004260	missing_exact_ROS_symbol
ENSCAFG00000004266	missing_exact_ROS_symbol
ENSCAFG00000004291	missing_exact_ROS_symbol
ENSCAFG00000004331	missing_exact_ROS_symbol
ENSCAFG00000004336	missing_exact_ROS_symbol
ENSCAFG00000004349	missing_exact_ROS_symbol
ENSCAFG00000004388	missing_exact_ROS_symbol
ENSCAFG00000004391	missing_exact_ROS_symbol
ENSCAFG00000004412	missing_exact_ROS_symbol
ENSCAFG00000004427	missing_exact_ROS_symbol
ENSCAFG00000004444	missing_exact_ROS_symbol
ENSCAFG00000004458	missing_exact_ROS_symbol
ENSCAFG00000004548	missing_exact_ROS_symbol
ENSCAFG00000004578	missing_exact_ROS_symbol
ENSCAFG00000004589	missing_exact_ROS_symbol
ENSCAFG00000004590	missing_exact_ROS_symbol
ENSCAFG00000004595	missing_exact_ROS_symbol
ENSCAFG00000004602	missing_exact_ROS_symbol
ENSCAFG00000004629	missing_exact_ROS_symbol
ENSCAFG00000004650	missing_exact_ROS_symbol
ENSCAFG00000004664	missing_exact_ROS_symbol
ENSCAFG00000004676	missing_exact_ROS_symbol
ENSCAFG00000004686	missing_exact_ROS_symbol
ENSCAFG00000004690	missing_exact_ROS_symbol
ENSCAFG00000004703	missing_exact_ROS_symbol
ENSCAFG00000004735	missing_exact_ROS_symbol
ENSCAFG00000004800	missing_exact_ROS_symbol
ENSCAFG00000004830	missing_exact_ROS_symbol
ENSCAFG00000004838	missing_exact_ROS_symbol
ENSCAFG00000004842	missing_exact_ROS_symbol
ENSCAFG00000004907	missing_exact_ROS_symbol
ENSCAFG00000004919	missing_exact_ROS_symbol
ENSCAFG00000004922	missing_exact_ROS_symbol
ENSCAFG00000004924	missing_exact_ROS_symbol
ENSCAFG00000004933	missing_exact_ROS_symbol
ENSCAFG00000004962	missing_exact_ROS_symbol
ENSCAFG00000004996	missing_exact_ROS_symbol
ENSCAFG00000005001	missing_exact_ROS_symbol
ENSCAFG00000005006	missing_exact_ROS_symbol
ENSCAFG00000005091	missing_exact_ROS_symbol
