symbol	ROS_gene_id
APOL5	gene-APOL5
APOL6	gene-APOL6
APOLD1	gene-APOLD1
APOM	gene-APOM
APOOL	gene-APOOL
APP	gene-APP
APPBP2	gene-APPBP2
APPL1	gene-APPL1
APPL2	gene-APPL2
APRT	gene-APRT
APTX	gene-APTX
AQP1	gene-AQP1
AQP11	gene-AQP11
AQP2	gene-AQP2
AQP5	gene-AQP5
AQP6	gene-AQP6
AQR	gene-AQR
AR	gene-AR
ARAF	gene-ARAF
ARAP1	gene-ARAP1
ARAP2	gene-ARAP2
ARAP3	gene-ARAP3
ARCN1	gene-ARCN1
AREL1	gene-AREL1
ARF1	gene-ARF1
ARF4	gene-ARF4
ARF5	gene-ARF5
ARF6	gene-ARF6
ARFGAP1	gene-ARFGAP1
ARFGAP2	gene-ARFGAP2
ARFGAP3	gene-ARFGAP3
ARFGEF1	gene-ARFGEF1
ARFGEF2	gene-ARFGEF2
ARFGEF3	gene-ARFGEF3
ARFIP1	gene-ARFIP1
ARFIP2	gene-ARFIP2
ARFRP1	gene-ARFRP1
ARG1	gene-ARG1
ARG2	gene-ARG2
ARGLU1	gene-ARGLU1
ARHGAP1	gene-ARHGAP1
ARHGAP10	gene-ARHGAP10
ARHGAP12	gene-ARHGAP12
ARHGAP15	gene-ARHGAP15
ARHGAP17	gene-ARHGAP17
ARHGAP18	gene-ARHGAP18
ARHGAP21	gene-ARHGAP21
ARHGAP22	gene-ARHGAP22
ARHGAP23	gene-ARHGAP23
ARHGAP24	gene-ARHGAP24
ARHGAP26	gene-ARHGAP26
ARHGAP29	gene-ARHGAP29
ARHGAP30	gene-ARHGAP30
ARHGAP31	gene-ARHGAP31
ARHGAP32	gene-ARHGAP32
ARHGAP33	gene-ARHGAP33
ARHGAP35	gene-ARHGAP35
ARHGAP39	gene-ARHGAP39
ARHGAP4	gene-ARHGAP4
ARHGAP42	gene-ARHGAP42
ARHGAP45	gene-ARHGAP45
ARHGAP5	gene-ARHGAP5
ARHGAP6	gene-ARHGAP6
ARHGAP8	gene-ARHGAP8
ARHGDIA	gene-ARHGDIA
ARHGDIB	gene-ARHGDIB
ARHGDIG	gene-ARHGDIG
ARHGEF10	gene-ARHGEF10
