symbol	ROS_gene_id
METTL25	gene-METTL25
METTL26	gene-METTL26
METTL27	gene-METTL27
METTL3	gene-METTL3
METTL4	gene-METTL4
METTL5	gene-METTL5
METTL7A	gene-METTL7A
METTL8	gene-METTL8
METTL9	gene-METTL9
MEX3A	gene-MEX3A
MEX3B	gene-MEX3B
MEX3C	gene-MEX3C
MEX3D	gene-MEX3D
MFAP1	gene-MFAP1
MFAP2	gene-MFAP2
MFAP3	gene-MFAP3
MFAP3L	gene-MFAP3L
MFF	gene-MFF
MFGE8	gene-MFGE8
MFHAS1	gene-MFHAS1
MFN1	gene-MFN1
MFN2	gene-MFN2
MFNG	gene-MFNG
MFSD1	gene-MFSD1
MFSD10	gene-MFSD10
MFSD11	gene-MFSD11
MFSD12	gene-MFSD12
MFSD13A	gene-MFSD13A
MFSD14A	gene-MFSD14A
MFSD14B	gene-MFSD14B
MFSD2A	gene-MFSD2A
MFSD2B	gene-MFSD2B
MFSD3	gene-MFSD3
MFSD4A	gene-MFSD4A
MFSD4B	gene-MFSD4B
MFSD5	gene-MFSD5
MFSD6	gene-MFSD6
MFSD6L	gene-MFSD6L
MFSD8	gene-MFSD8
MFSD9	gene-MFSD9
MGA	gene-MGA
MGARP	gene-MGARP
MGAT2	gene-MGAT2
MGAT3	gene-MGAT3
MGAT4A	gene-MGAT4A
MGAT4B	gene-MGAT4B
MGAT5	gene-MGAT5
MGLL	gene-MGLL
MGMT	gene-MGMT
MGRN1	gene-MGRN1
MGST1	gene-MGST1
MGST3	gene-MGST3
MIA3	gene-MIA3
MIB1	gene-MIB1
MIB2	gene-MIB2
MICAL1	gene-MICAL1
MICAL2	gene-MICAL2
MICAL3	gene-MICAL3
MICALL1	gene-MICALL1
MICALL2	gene-MICALL2
MICOS13	gene-MICOS13
MICU1	gene-MICU1
MICU2	gene-MICU2
MICU3	gene-MICU3
MID1IP1	gene-MID1IP1
MID2	gene-MID2
MIDEAS	gene-MIDEAS
MIDN	gene-MIDN
MIEF1	gene-MIEF1
MIEN1	gene-MIEN1
MIER1	gene-MIER1
MIER2	gene-MIER2
MIER3	gene-MIER3
MIF4GD	gene-MIF4GD
MIGA2	gene-MIGA2
MIIP	gene-MIIP
MILR1	gene-MILR1
MINAR1	gene-MINAR1
MINDY1	gene-MINDY1
MINDY2	gene-MINDY2
MINDY3	gene-MINDY3
MINDY4	gene-MINDY4
MINK1	gene-MINK1
MINPP1	gene-MINPP1
MIOS	gene-MIOS
MIOX	gene-MIOX
MIPEP	gene-MIPEP
MIPOL1	gene-MIPOL1
MIS18A	gene-MIS18A
MIS18BP1	gene-MIS18BP1
MISP	gene-MISP
MITD1	gene-MITD1
MITF	gene-MITF
MIX23	gene-MIX23
MKI67	gene-MKI67
MKKS	gene-MKKS
MKLN1	gene-MKLN1
MKNK1	gene-MKNK1
MKNK2	gene-MKNK2
MKRN2	gene-MKRN2
MKRN2OS	gene-MKRN2OS
MKS1	gene-MKS1
MLC1	gene-MLC1
MLEC	gene-MLEC
MLF1	gene-MLF1
MLF2	gene-MLF2
MLH1	gene-MLH1
MLH3	gene-MLH3
MLIP	gene-MLIP
MLLT1	gene-MLLT1
MLLT10	gene-MLLT10
MLLT11	gene-MLLT11
MLLT3	gene-MLLT3
MLLT6	gene-MLLT6
MLNR	gene-MLNR
MLPH	gene-MLPH
MLST8	gene-MLST8
MLX	gene-MLX
MLXIP	gene-MLXIP
MLXIPL	gene-MLXIPL
MLYCD	gene-MLYCD
MMAA	gene-MMAA
MMAB	gene-MMAB
MMACHC	gene-MMACHC
MMADHC	gene-MMADHC
MMD	gene-MMD
MME	gene-MME
MMEL1	gene-MMEL1
MMP1	gene-MMP1
MMP11	gene-MMP11
MMP14	gene-MMP14
MMP15	gene-MMP15
MMP17	gene-MMP17
MMP2	gene-MMP2
MMP21	gene-MMP21
MMP23	gene-MMP23
MMP25	gene-MMP25
MMP28	gene-MMP28
MMP9	gene-MMP9
MMRN2	gene-MMRN2
MMS19	gene-MMS19
MMS22L	gene-MMS22L
MMUT	gene-MMUT
MN1	gene-MN1
MNAT1	gene-MNAT1
MND1	gene-MND1
MNDA	gene-MNDA
MNS1	gene-MNS1
MNT	gene-MNT
MNX1	gene-MNX1
MOB1A	gene-MOB1A
MOB1B	gene-MOB1B
MOB2	gene-MOB2
MOB3A	gene-MOB3A
MOB3B	gene-MOB3B
MOB3C	gene-MOB3C
MOCOS	gene-MOCOS
MOCS1	gene-MOCS1
MOCS2	gene-MOCS2
MOCS3	gene-MOCS3
MOGAT1	gene-MOGAT1
MOGS	gene-MOGS
MOK	gene-MOK
MON1A	gene-MON1A
MON1B	gene-MON1B
MON2	gene-MON2
MORC2	gene-MORC2
MORC3	gene-MORC3
MORC4	gene-MORC4
MORF4L1	gene-MORF4L1
MORF4L2	gene-MORF4L2
MORN1	gene-MORN1
MORN2	gene-MORN2
MORN4	gene-MORN4
MORN5	gene-MORN5
MOSMO	gene-MOSMO
MOSPD1	gene-MOSPD1
MOSPD2	gene-MOSPD2
MOSPD3	gene-MOSPD3
MOV10	gene-MOV10
MOV10L1	gene-MOV10L1
MPC2	gene-MPC2
MPDU1	gene-MPDU1
MPDZ	gene-MPDZ
MPEG1	gene-MPEG1
MPG	gene-MPG
MPHOSPH10	gene-MPHOSPH10
MPHOSPH6	gene-MPHOSPH6
MPHOSPH8	gene-MPHOSPH8
MPHOSPH9	gene-MPHOSPH9
MPI	gene-MPI
MPIG6B	gene-MPIG6B
MPLKIP	gene-MPLKIP
MPND	gene-MPND
MPO	gene-MPO
MPP1	gene-MPP1
MPP4	gene-MPP4
MPP5	gene-MPP5
MPP6	gene-MPP6
MPP7	gene-MPP7
MPPE1	gene-MPPE1
MPPED2	gene-MPPED2
MPRIP	gene-MPRIP
MPST	gene-MPST
MPV17L2	gene-MPV17L2
MPZL1	gene-MPZL1
MPZL2	gene-MPZL2
MPZL3	gene-MPZL3
MRAP2	gene-MRAP2
MRAS	gene-MRAS
MRC1	gene-MRC1
MRC2	gene-MRC2
MRE11	gene-MRE11
MREG	gene-MREG
MRGBP	gene-MRGBP
MRI1	gene-MRI1
MRM1	gene-MRM1
MRM2	gene-MRM2
MRM3	gene-MRM3
MRNIP	gene-MRNIP
MROH1	gene-MROH1
MROH2A	gene-MROH2A
MROH6	gene-MROH6
MROH8	gene-MROH8
MRPL1	gene-MRPL1
MRPL10	gene-MRPL10
MRPL11	gene-MRPL11
MRPL13	gene-MRPL13
MRPL14	gene-MRPL14
MRPL15	gene-MRPL15
MRPL17	gene-MRPL17
MRPL18	gene-MRPL18
MRPL19	gene-MRPL19
MRPL2	gene-MRPL2
MRPL20	gene-MRPL20
MRPL21	gene-MRPL21
MRPL22	gene-MRPL22
MRPL24	gene-MRPL24
MRPL27	gene-MRPL27
MRPL28	gene-MRPL28
MRPL3	gene-MRPL3
MRPL32	gene-MRPL32
MRPL33	gene-MRPL33
MRPL34	gene-MRPL34
MRPL35	gene-MRPL35
MRPL37	gene-MRPL37
MRPL38	gene-MRPL38
MRPL39	gene-MRPL39
MRPL4	gene-MRPL4
MRPL40	gene-MRPL40
MRPL41	gene-MRPL41
MRPL43	gene-MRPL43
MRPL44	gene-MRPL44
MRPL46	gene-MRPL46
MRPL47	gene-MRPL47
MRPL49	gene-MRPL49
MRPL50	gene-MRPL50
MRPL51	gene-MRPL51
MRPL52	gene-MRPL52
MRPL53	gene-MRPL53
MRPL54	gene-MRPL54
MRPL55	gene-MRPL55
MRPL57	gene-MRPL57
MRPL58	gene-MRPL58
MRPS11	gene-MRPS11
MRPS12	gene-MRPS12
MRPS15	gene-MRPS15
MRPS18A	gene-MRPS18A
MRPS18B	gene-MRPS18B
MRPS18C	gene-MRPS18C
MRPS2	gene-MRPS2
MRPS21	gene-MRPS21
MRPS23	gene-MRPS23
MRPS25	gene-MRPS25
MRPS26	gene-MRPS26
MRPS27	gene-MRPS27
MRPS28	gene-MRPS28
MRPS30	gene-MRPS30
MRPS31	gene-MRPS31
MRPS34	gene-MRPS34
MRPS35	gene-MRPS35
MRPS36	gene-MRPS36
MRPS5	gene-MRPS5
MRPS7	gene-MRPS7
MRPS9	gene-MRPS9
MRRF	gene-MRRF
MRS2	gene-MRS2
MRTFA	gene-MRTFA
MRTFB	gene-MRTFB
MRTO4	gene-MRTO4
MS4A1	gene-MS4A1
MS4A13	gene-MS4A13
MS4A2	gene-MS4A2
MSANTD1	gene-MSANTD1
MSANTD2	gene-MSANTD2
MSANTD4	gene-MSANTD4
MSC	gene-MSC
MSH2	gene-MSH2
MSH3	gene-MSH3
MSH6	gene-MSH6
MSL1	gene-MSL1
MSL2	gene-MSL2
MSL3	gene-MSL3
MSN	gene-MSN
MSRA	gene-MSRA
MSRB1	gene-MSRB1
MSRB2	gene-MSRB2
MSRB3	gene-MSRB3
MSS51	gene-MSS51
MST1	gene-MST1
MST1R	gene-MST1R
MSTO1	gene-MSTO1
MSX1	gene-MSX1
MSX2	gene-MSX2
MT1E	gene-MT1E
MT2A	gene-MT2A
MTA1	gene-MTA1
MTA2	gene-MTA2
MTA3	gene-MTA3
MTAP	gene-MTAP
MTARC2	gene-MTARC2
MTBP	gene-MTBP
MTCH1	gene-MTCH1
MTCH2	gene-MTCH2
MTCL1	gene-MTCL1
MTCP1	gene-MTCP1
MTDH	gene-MTDH
MTERF1	gene-MTERF1
MTERF2	gene-MTERF2
MTERF3	gene-MTERF3
MTF1	gene-MTF1
MTF2	gene-MTF2
MTFMT	gene-MTFMT
MTFP1	gene-MTFP1
MTFR1	gene-MTFR1
MTFR1L	gene-MTFR1L
MTFR2	gene-MTFR2
MTG1	gene-MTG1
MTG2	gene-MTG2
MTHFD1	gene-MTHFD1
MTHFD1L	gene-MTHFD1L
MTHFD2	gene-MTHFD2
MTHFD2L	gene-MTHFD2L
MTHFR	gene-MTHFR
MTHFSD	gene-MTHFSD
MTIF2	gene-MTIF2
MTIF3	gene-MTIF3
MTLN	gene-MTLN
MTM1	gene-MTM1
MTMR1	gene-MTMR1
MTMR10	gene-MTMR10
MTMR11	gene-MTMR11
MTMR12	gene-MTMR12
MTMR14	gene-MTMR14
MTMR2	gene-MTMR2
MTMR3	gene-MTMR3
MTMR4	gene-MTMR4
MTMR6	gene-MTMR6
MTMR7	gene-MTMR7
MTMR9	gene-MTMR9
MTO1	gene-MTO1
MTOR	gene-MTOR
MTPAP	gene-MTPAP
MTPN	gene-MTPN
MTR	gene-MTR
MTRES1	gene-MTRES1
MTREX	gene-MTREX
MTRF1	gene-MTRF1
MTRF1L	gene-MTRF1L
MTRR	gene-MTRR
MTSS1	gene-MTSS1
MTSS2	gene-MTSS2
MTTP	gene-MTTP
MTURN	gene-MTURN
MTUS1	gene-MTUS1
MTUS2	gene-MTUS2
MTX1	gene-MTX1
MTX2	gene-MTX2
MTX3	gene-MTX3
MUC1	gene-MUC1
MUC20	gene-MUC20
MUC4	gene-MUC4
MUC5B	gene-MUC5B
MUL1	gene-MUL1
MUS81	gene-MUS81
MUTYH	gene-MUTYH
MVB12A	gene-MVB12A
MVB12B	gene-MVB12B
MVD	gene-MVD
MVK	gene-MVK
MVP	gene-MVP
MX2	gene-MX2
MXD1	gene-MXD1
MXD3	gene-MXD3
MXD4	gene-MXD4
MXI1	gene-MXI1
MXRA8	gene-MXRA8
MYADML2	gene-MYADML2
MYB	gene-MYB
MYBBP1A	gene-MYBBP1A
MYBL1	gene-MYBL1
MYBL2	gene-MYBL2
MYBPC1	gene-MYBPC1
MYBPC2	gene-MYBPC2
MYBPC3	gene-MYBPC3
MYC	gene-MYC
MYCBP	gene-MYCBP
MYCBP2	gene-MYCBP2
MYCL	gene-MYCL
MYD88	gene-MYD88
MYDGF	gene-MYDGF
MYEF2	gene-MYEF2
MYG1	gene-MYG1
MYH10	gene-MYH10
MYH11	gene-MYH11
MYH14	gene-MYH14
MYH15	gene-MYH15
MYH3	gene-MYH3
MYH7	gene-MYH7
MYH7B	gene-MYH7B
MYH8	gene-MYH8
MYH9	gene-MYH9
MYL4	gene-MYL4
MYL5	gene-MYL5
MYL6B	gene-MYL6B
MYL9	gene-MYL9
MYLIP	gene-MYLIP
MYLK	gene-MYLK
MYLK3	gene-MYLK3
MYLPF	gene-MYLPF
MYNN	gene-MYNN
MYO10	gene-MYO10
MYO18A	gene-MYO18A
MYO18B	gene-MYO18B
MYO19	gene-MYO19
MYO1B	gene-MYO1B
MYO1C	gene-MYO1C
MYO1D	gene-MYO1D
MYO1E	gene-MYO1E
MYO1F	gene-MYO1F
MYO3A	gene-MYO3A
MYO3B	gene-MYO3B
MYO5A	gene-MYO5A
MYO5B	gene-MYO5B
MYO6	gene-MYO6
MYO7A	gene-MYO7A
MYO9A	gene-MYO9A
MYO9B	gene-MYO9B
MYOF	gene-MYOF
MYOM1	gene-MYOM1
MYORG	gene-MYORG
MYOZ1	gene-MYOZ1
MYOZ3	gene-MYOZ3
MYPN	gene-MYPN
MYPOP	gene-MYPOP
MYRF	gene-MYRF
MYSM1	gene-MYSM1
MZB1	gene-MZB1
MZF1	gene-MZF1
MZT1	gene-MZT1
N4BP1	gene-N4BP1
N4BP2	gene-N4BP2
N4BP2L1	gene-N4BP2L1
N4BP2L2	gene-N4BP2L2
N4BP3	gene-N4BP3
N6AMT1	gene-N6AMT1
NAA10	gene-NAA10
NAA11	gene-NAA11
NAA15	gene-NAA15
NAA16	gene-NAA16
NAA20	gene-NAA20
NAA25	gene-NAA25
NAA30	gene-NAA30
NAA35	gene-NAA35
NAA38	gene-NAA38
NAA40	gene-NAA40
NAA50	gene-NAA50
NAA60	gene-NAA60
NAALADL1	gene-NAALADL1
NAB1	gene-NAB1
NAB2	gene-NAB2
NABP1	gene-NABP1
NABP2	gene-NABP2
NACA	gene-NACA
NACC1	gene-NACC1
NACC2	gene-NACC2
NADK	gene-NADK
NADK2	gene-NADK2
NADSYN1	gene-NADSYN1
NAE1	gene-NAE1
NAGA	gene-NAGA
NAGLU	gene-NAGLU
NAGPA	gene-NAGPA
NAIF1	gene-NAIF1
NAMPT	gene-NAMPT
NANOS3	gene-NANOS3
NANS	gene-NANS
NAP1L1	gene-NAP1L1
NAP1L3	gene-NAP1L3
NAP1L4	gene-NAP1L4
NAP1L5	gene-NAP1L5
NAPA	gene-NAPA
NAPB	gene-NAPB
NAPEPLD	gene-NAPEPLD
NAPG	gene-NAPG
NAPRT	gene-NAPRT
NAPSA	gene-NAPSA
NARF	gene-NARF
NARS1	gene-NARS1
NASP	gene-NASP
NAT10	gene-NAT10
NAT14	gene-NAT14
NAT8L	gene-NAT8L
NAT9	gene-NAT9
NAV1	gene-NAV1
NAV2	gene-NAV2
NAV3	gene-NAV3
NAXD	gene-NAXD
NAXE	gene-NAXE
NBAS	gene-NBAS
NBEA	gene-NBEA
NBEAL1	gene-NBEAL1
NBEAL2	gene-NBEAL2
NBL1	gene-NBL1
NBN	gene-NBN
NBR1	gene-NBR1
NCALD	gene-NCALD
NCAM1	gene-NCAM1
NCAM2	gene-NCAM2
NCAPD2	gene-NCAPD2
NCAPD3	gene-NCAPD3
NCAPG	gene-NCAPG
NCAPG2	gene-NCAPG2
NCAPH	gene-NCAPH
NCAPH2	gene-NCAPH2
NCBP1	gene-NCBP1
NCBP3	gene-NCBP3
NCCRP1	gene-NCCRP1
NCDN	gene-NCDN
NCEH1	gene-NCEH1
NCF2	gene-NCF2
NCF4	gene-NCF4
NCK1	gene-NCK1
NCK2	gene-NCK2
NCKAP1	gene-NCKAP1
NCKAP1L	gene-NCKAP1L
NCKAP5L	gene-NCKAP5L
NCKIPSD	gene-NCKIPSD
NCL	gene-NCL
NCLN	gene-NCLN
NCOA1	gene-NCOA1
NCOA2	gene-NCOA2
NCOA3	gene-NCOA3
NCOA4	gene-NCOA4
NCOA5	gene-NCOA5
NCOA6	gene-NCOA6
NCOA7	gene-NCOA7
NCOR1	gene-NCOR1
NCOR2	gene-NCOR2
NCR1	gene-NCR1
NCR3	gene-NCR3
NCR3LG1	gene-NCR3LG1
NCSTN	gene-NCSTN
NDC80	gene-NDC80
NDE1	gene-NDE1
NDEL1	gene-NDEL1
NDFIP1	gene-NDFIP1
NDFIP2	gene-NDFIP2
NDN	gene-NDN
NDOR1	gene-NDOR1
NDRG1	gene-NDRG1
NDRG3	gene-NDRG3
NDRG4	gene-NDRG4
NDST1	gene-NDST1
NDST2	gene-NDST2
NDUFA10	gene-NDUFA10
NDUFA12	gene-NDUFA12
NDUFA13	gene-NDUFA13
NDUFA2	gene-NDUFA2
NDUFA4L2	gene-NDUFA4L2
NDUFA6	gene-NDUFA6
NDUFA8	gene-NDUFA8
NDUFA9	gene-NDUFA9
NDUFAF1	gene-NDUFAF1
NDUFAF2	gene-NDUFAF2
NDUFAF3	gene-NDUFAF3
NDUFAF4	gene-NDUFAF4
NDUFAF5	gene-NDUFAF5
NDUFAF6	gene-NDUFAF6
NDUFAF7	gene-NDUFAF7
NDUFAF8	gene-NDUFAF8
NDUFB10	gene-NDUFB10
NDUFB11	gene-NDUFB11
NDUFB2	gene-NDUFB2
NDUFB3	gene-NDUFB3
NDUFB4	gene-NDUFB4
NDUFB6	gene-NDUFB6
NDUFB7	gene-NDUFB7
NDUFB8	gene-NDUFB8
NDUFB9	gene-NDUFB9
NDUFS1	gene-NDUFS1
NDUFS2	gene-NDUFS2
NDUFS3	gene-NDUFS3
NDUFS4	gene-NDUFS4
NDUFS5	gene-NDUFS5
NDUFS6	gene-NDUFS6
NDUFS7	gene-NDUFS7
NDUFS8	gene-NDUFS8
NDUFV1	gene-NDUFV1
NDUFV2	gene-NDUFV2
NDUFV3	gene-NDUFV3
NEB	gene-NEB
NECAB1	gene-NECAB1
NECAB3	gene-NECAB3
NECAP1	gene-NECAP1
NECAP2	gene-NECAP2
NECTIN1	gene-NECTIN1
NECTIN2	gene-NECTIN2
NECTIN3	gene-NECTIN3
NECTIN4	gene-NECTIN4
NEDD1	gene-NEDD1
NEDD4	gene-NEDD4
NEDD4L	gene-NEDD4L
NEDD8	gene-NEDD8
NEDD9	gene-NEDD9
NEFH	gene-NEFH
NEFL	gene-NEFL
NEFM	gene-NEFM
NEIL1	gene-NEIL1
NEIL2	gene-NEIL2
NEIL3	gene-NEIL3
NEK1	gene-NEK1
NEK10	gene-NEK10
NEK2	gene-NEK2
NEK4	gene-NEK4
NEK6	gene-NEK6
NEK7	gene-NEK7
NEK8	gene-NEK8
NEK9	gene-NEK9
NELFA	gene-NELFA
NELFB	gene-NELFB
NELFCD	gene-NELFCD
NELFE	gene-NELFE
NELL1	gene-NELL1
NEMF	gene-NEMF
NEMP1	gene-NEMP1
NEMP2	gene-NEMP2
NENF	gene-NENF
NEO1	gene-NEO1
NEPRO	gene-NEPRO
NET1	gene-NET1
NETO1	gene-NETO1
NETO2	gene-NETO2
NEU1	gene-NEU1
NEURL1B	gene-NEURL1B
NEURL2	gene-NEURL2
NEURL3	gene-NEURL3
NEURL4	gene-NEURL4
NEUROG2	gene-NEUROG2
NEXN	gene-NEXN
NF1	gene-NF1
NF2	gene-NF2
NFASC	gene-NFASC
NFAT5	gene-NFAT5
NFATC1	gene-NFATC1
NFATC2	gene-NFATC2
NFATC2IP	gene-NFATC2IP
NFATC3	gene-NFATC3
NFATC4	gene-NFATC4
NFE2	gene-NFE2
NFE2L1	gene-NFE2L1
NFE2L2	gene-NFE2L2
NFE2L3	gene-NFE2L3
NFIA	gene-NFIA
NFIB	gene-NFIB
NFIC	gene-NFIC
NFIL3	gene-NFIL3
NFIX	gene-NFIX
NFKB1	gene-NFKB1
NFKB2	gene-NFKB2
NFKBIA	gene-NFKBIA
NFKBIB	gene-NFKBIB
NFKBID	gene-NFKBID
NFKBIE	gene-NFKBIE
NFKBIL1	gene-NFKBIL1
NFKBIZ	gene-NFKBIZ
NFRKB	gene-NFRKB
NFS1	gene-NFS1
NFX1	gene-NFX1
NFXL1	gene-NFXL1
NFYA	gene-NFYA
NFYB	gene-NFYB
NFYC	gene-NFYC
NGDN	gene-NGDN
NGEF	gene-NGEF
NGFR	gene-NGFR
NGLY1	gene-NGLY1
NGRN	gene-NGRN
NHEJ1	gene-NHEJ1
NHLRC1	gene-NHLRC1
NHLRC2	gene-NHLRC2
NHLRC3	gene-NHLRC3
NHP2	gene-NHP2
NHS	gene-NHS
NHSL1	gene-NHSL1
NHSL2	gene-NHSL2
NIBAN1	gene-NIBAN1
NIBAN2	gene-NIBAN2
NIBAN3	gene-NIBAN3
NICN1	gene-NICN1
NID1	gene-NID1
NID2	gene-NID2
NIF3L1	gene-NIF3L1
NIFK	gene-NIFK
NIM1K	gene-NIM1K
NIN	gene-NIN
NINJ1	gene-NINJ1
NINL	gene-NINL
NIP7	gene-NIP7
NIPA1	gene-NIPA1
NIPA2	gene-NIPA2
NIPAL1	gene-NIPAL1
NIPAL2	gene-NIPAL2
NIPAL3	gene-NIPAL3
NIPAL4	gene-NIPAL4
NIPBL	gene-NIPBL
NIPSNAP1	gene-NIPSNAP1
NIPSNAP2	gene-NIPSNAP2
NISCH	gene-NISCH
NIT1	gene-NIT1
NIT2	gene-NIT2
NKAIN1	gene-NKAIN1
NKAIN2	gene-NKAIN2
NKAIN4	gene-NKAIN4
NKAP	gene-NKAP
NKAPD1	gene-NKAPD1
NKAPL	gene-NKAPL
NKD1	gene-NKD1
NKD2	gene-NKD2
NKIRAS1	gene-NKIRAS1
NKIRAS2	gene-NKIRAS2
NKPD1	gene-NKPD1
NKRF	gene-NKRF
NKTR	gene-NKTR
NKX2-5	gene-NKX2-5
NKX2-8	gene-NKX2-8
NLE1	gene-NLE1
NLGN2	gene-NLGN2
NLGN3	gene-NLGN3
NLK	gene-NLK
NLN	gene-NLN
NLRC5	gene-NLRC5
NLRP3	gene-NLRP3
NLRP6	gene-NLRP6
NLRX1	gene-NLRX1
NMB	gene-NMB
NMBR	gene-NMBR
NMD3	gene-NMD3
NME1	gene-NME1
NME2	gene-NME2
NME6	gene-NME6
NME7	gene-NME7
NME8	gene-NME8
NMI	gene-NMI
NMNAT1	gene-NMNAT1
NMNAT2	gene-NMNAT2
NMNAT3	gene-NMNAT3
NMRAL1	gene-NMRAL1
NMRK1	gene-NMRK1
NMT1	gene-NMT1
NMT2	gene-NMT2
NMU	gene-NMU
NMUR1	gene-NMUR1
NNAT	gene-NNAT
NNT	gene-NNT
NOA1	gene-NOA1
NOB1	gene-NOB1
NOC2L	gene-NOC2L
NOC3L	gene-NOC3L
NOC4L	gene-NOC4L
NOCT	gene-NOCT
NOD1	gene-NOD1
NOD2	gene-NOD2
NOL10	gene-NOL10
NOL11	gene-NOL11
NOL4	gene-NOL4
NOL4L	gene-NOL4L
NOL6	gene-NOL6
NOL8	gene-NOL8
NOL9	gene-NOL9
NOLC1	gene-NOLC1
NOM1	gene-NOM1
NONO	gene-NONO
NOP10	gene-NOP10
NOP14	gene-NOP14
NOP16	gene-NOP16
NOP2	gene-NOP2
NOP53	gene-NOP53
NOP56	gene-NOP56
NOP58	gene-NOP58
NOP9	gene-NOP9
NOS2	gene-NOS2
NOSIP	gene-NOSIP
NOTCH1	gene-NOTCH1
NOTCH2	gene-NOTCH2
NOTCH3	gene-NOTCH3
NOTCH4	gene-NOTCH4
NOTUM	gene-NOTUM
NOVA1	gene-NOVA1
NOVA2	gene-NOVA2
NOX1	gene-NOX1
NOXA1	gene-NOXA1
NOXO1	gene-NOXO1
NOXRED1	gene-NOXRED1
NPAS1	gene-NPAS1
NPAS2	gene-NPAS2
NPAS4	gene-NPAS4
NPAT	gene-NPAT
NPB	gene-NPB
NPC1	gene-NPC1
NPC2	gene-NPC2
NPDC1	gene-NPDC1
NPEPL1	gene-NPEPL1
NPEPPS	gene-NPEPPS
NPFFR1	gene-NPFFR1
NPHP1	gene-NPHP1
NPHP3	gene-NPHP3
NPHP4	gene-NPHP4
NPL	gene-NPL
NPLOC4	gene-NPLOC4
NPM1	gene-NPM1
NPNT	gene-NPNT
NPPC	gene-NPPC
NPR2	gene-NPR2
NPRL2	gene-NPRL2
NPRL3	gene-NPRL3
NPTN	gene-NPTN
NPTX1	gene-NPTX1
NPTX2	gene-NPTX2
NPTXR	gene-NPTXR
NQO1	gene-NQO1
NQO2	gene-NQO2
NR1D1	gene-NR1D1
NR1D2	gene-NR1D2
NR1H2	gene-NR1H2
NR1H3	gene-NR1H3
NR1H4	gene-NR1H4
NR1I3	gene-NR1I3
NR2C1	gene-NR2C1
NR2C2	gene-NR2C2
NR2C2AP	gene-NR2C2AP
NR2F1	gene-NR2F1
NR2F2	gene-NR2F2
NR2F6	gene-NR2F6
NR3C1	gene-NR3C1
NR3C2	gene-NR3C2
NR4A1	gene-NR4A1
NR4A2	gene-NR4A2
NR4A3	gene-NR4A3
NR5A2	gene-NR5A2
NR6A1	gene-NR6A1
NRAP	gene-NRAP
NRARP	gene-NRARP
NRAS	gene-NRAS
NRBF2	gene-NRBF2
NRBP1	gene-NRBP1
NRBP2	gene-NRBP2
NRCAM	gene-NRCAM
NRDC	gene-NRDC
NRDE2	gene-NRDE2
NREP	gene-NREP
NRF1	gene-NRF1
NRG2	gene-NRG2
NRG3	gene-NRG3
NRGN	gene-NRGN
NRIP1	gene-NRIP1
NRIP3	gene-NRIP3
NRL	gene-NRL
NRM	gene-NRM
NRN1L	gene-NRN1L
NRP1	gene-NRP1
NRP2	gene-NRP2
NRTN	gene-NRTN
NRXN2	gene-NRXN2
NSD1	gene-NSD1
NSD2	gene-NSD2
NSD3	gene-NSD3
NSDHL	gene-NSDHL
NSF	gene-NSF
NSFL1C	gene-NSFL1C
NSG1	gene-NSG1
NSL1	gene-NSL1
NSMAF	gene-NSMAF
NSMCE1	gene-NSMCE1
NSMCE2	gene-NSMCE2
NSMCE4A	gene-NSMCE4A
NSMF	gene-NSMF
NSRP1	gene-NSRP1
NSUN2	gene-NSUN2
NSUN3	gene-NSUN3
NSUN4	gene-NSUN4
NSUN5	gene-NSUN5
NSUN6	gene-NSUN6
NT5C	gene-NT5C
NT5C1A	gene-NT5C1A
NT5C2	gene-NT5C2
NT5C3A	gene-NT5C3A
NT5C3B	gene-NT5C3B
NT5DC1	gene-NT5DC1
NT5DC2	gene-NT5DC2
NT5DC3	gene-NT5DC3
NT5E	gene-NT5E
NTAN1	gene-NTAN1
NTAQ1	gene-NTAQ1
NTHL1	gene-NTHL1
NTMT1	gene-NTMT1
NTN1	gene-NTN1
NTN4	gene-NTN4
NTNG2	gene-NTNG2
NTRK1	gene-NTRK1
NTRK2	gene-NTRK2
NTRK3	gene-NTRK3
NTSR1	gene-NTSR1
NUAK1	gene-NUAK1
NUAK2	gene-NUAK2
NUB1	gene-NUB1
NUBP1	gene-NUBP1
NUBP2	gene-NUBP2
NUBPL	gene-NUBPL
NUCB1	gene-NUCB1
NUCB2	gene-NUCB2
NUCKS1	gene-NUCKS1
NUDC	gene-NUDC
NUDCD1	gene-NUDCD1
NUDCD2	gene-NUDCD2
NUDCD3	gene-NUDCD3
NUDT1	gene-NUDT1
NUDT12	gene-NUDT12
NUDT13	gene-NUDT13
NUDT14	gene-NUDT14
NUDT15	gene-NUDT15
NUDT16	gene-NUDT16
NUDT16L1	gene-NUDT16L1
NUDT17	gene-NUDT17
NUDT18	gene-NUDT18
NUDT2	gene-NUDT2
NUDT22	gene-NUDT22
NUDT3	gene-NUDT3
NUDT4	gene-NUDT4
NUDT5	gene-NUDT5
NUDT6	gene-NUDT6
NUDT7	gene-NUDT7
NUDT9	gene-NUDT9
NUF2	gene-NUF2
NUFIP1	gene-NUFIP1
NUFIP2	gene-NUFIP2
NUGGC	gene-NUGGC
NUMA1	gene-NUMA1
NUMB	gene-NUMB
NUP107	gene-NUP107
NUP133	gene-NUP133
NUP153	gene-NUP153
NUP155	gene-NUP155
NUP160	gene-NUP160
