run	cluster	gene	detected_fraction	mean_UMI
res0.5_seed42	1	CD2	0.020618556701030927	0.020618556701030927
res0.5_seed42	1	CD4	0.0	0.0
res0.5_seed42	1	CD8A	0.0	0.0
res0.5_seed42	1	CD8B	0.010309278350515464	0.010309278350515464
res0.5_seed42	1	LYZ	0.005154639175257732	0.005154639175257732
res0.5_seed42	1	LST1	0.05154639175257732	0.061855670103092786
res0.5_seed42	1	CSF1R	0.10824742268041238	0.15463917525773196
res0.5_seed42	1	MS4A1	0.0	0.0
res0.5_seed42	1	CD79A	0.0	0.0
res0.5_seed42	1	NKG7	0.005154639175257732	0.005154639175257732
res0.5_seed42	1	MKI67	0.015463917525773196	0.015463917525773196
res0.5_seed42	2	CD3D	0.010091743119266056	0.011009174311926606
res0.5_seed42	2	CD3E	0.01743119266055046	0.01834862385321101
res0.5_seed42	2	CD3G	0.008256880733944955	0.009174311926605505
res0.5_seed42	2	CD247	0.011009174311926606	0.011009174311926606
res0.5_seed42	2	LCK	0.001834862385321101	0.001834862385321101
res0.5_seed42	2	CD2	0.024770642201834864	0.025688073394495414
res0.5_seed42	2	CD4	0.0027522935779816515	0.0027522935779816515
res0.5_seed42	2	CD8A	0.0	0.0
res0.5_seed42	2	CD8B	0.007339449541284404	0.007339449541284404
res0.5_seed42	2	LYZ	0.005504587155963303	0.005504587155963303
res0.5_seed42	2	LST1	0.06513761467889909	0.07064220183486239
res0.5_seed42	2	CSF1R	0.1743119266055046	0.25596330275229356
res0.5_seed42	2	MS4A1	0.0	0.0
res0.5_seed42	2	CD79A	0.001834862385321101	0.001834862385321101
res0.5_seed42	2	NKG7	0.001834862385321101	0.001834862385321101
res0.5_seed42	2	MKI67	0.044954128440366975	0.060550458715596334
res0.5_seed42	3	CD3D	0.00847457627118644	0.00847457627118644
res0.5_seed42	3	CD3E	0.021791767554479417	0.03268765133171913
res0.5_seed42	3	CD3G	0.007263922518159807	0.007263922518159807
res0.5_seed42	3	CD247	0.014527845036319613	0.018159806295399514
res0.5_seed42	3	LCK	0.023002421307506054	0.025423728813559324
res0.5_seed42	3	CD2	0.01694915254237288	0.01937046004842615
res0.5_seed42	3	CD4	0.002421307506053269	0.002421307506053269
res0.5_seed42	3	CD8A	0.002421307506053269	0.002421307506053269
res0.5_seed42	3	CD8B	0.018159806295399514	0.021791767554479417
res0.5_seed42	3	LYZ	0.021791767554479417	0.024213075060532687
res0.5_seed42	3	LST1	0.0774818401937046	0.09079903147699758
res0.5_seed42	3	CSF1R	0.15617433414043583	0.33292978208232443
res0.5_seed42	3	MS4A1	0.0	0.0
res0.5_seed42	3	CD79A	0.002421307506053269	0.002421307506053269
res0.5_seed42	3	NKG7	0.013317191283292978	0.014527845036319613
res0.5_seed42	3	MKI67	0.08716707021791767	0.26997578692493945
res0.5_seed42	4	CD3D	0.014644351464435146	0.016736401673640166
res0.5_seed42	4	CD3E	0.03138075313807531	0.043933054393305436
res0.5_seed42	4	CD3G	0.01882845188284519	0.02092050209205021
res0.5_seed42	4	CD247	0.012552301255230125	0.012552301255230125
res0.5_seed42	4	LCK	0.014644351464435146	0.014644351464435146
res0.5_seed42	4	CD2	0.07322175732217573	0.08577405857740586
res0.5_seed42	4	CD4	0.006276150627615063	0.006276150627615063
res0.5_seed42	4	CD8A	0.0041841004184100415	0.0041841004184100415
res0.5_seed42	4	CD8B	0.016736401673640166	0.02092050209205021
res0.5_seed42	4	LYZ	0.07322175732217573	0.12343096234309624
res0.5_seed42	4	LST1	0.2510460251046025	0.3075313807531381
res0.5_seed42	4	CSF1R	0.5732217573221757	1.612970711297071
res0.5_seed42	4	MS4A1	0.0	0.0
res0.5_seed42	4	CD79A	0.0020920502092050207	0.0020920502092050207
res0.5_seed42	4	NKG7	0.0020920502092050207	0.0020920502092050207
res0.5_seed42	4	MKI67	0.08368200836820083	0.16736401673640167
res0.5_seed42	5	CD3D	0.0069084628670120895	0.008635578583765112
res0.5_seed42	5	CD3E	0.016407599309153715	0.02158894645941278
res0.5_seed42	5	CD3G	0.011226252158894647	0.011226252158894647
res0.5_seed42	5	CD247	0.017271157167530225	0.022452504317789293
res0.5_seed42	5	LCK	0.010362694300518135	0.012089810017271158
res0.5_seed42	5	CD2	0.024179620034542316	0.02849740932642487
res0.5_seed42	5	CD4	0.008635578583765112	0.008635578583765112
res0.5_seed42	5	CD8A	0.0017271157167530224	0.0017271157167530224
res0.5_seed42	5	CD8B	0.011226252158894647	0.011226252158894647
res0.5_seed42	5	LYZ	0.007772020725388601	0.008635578583765112
res0.5_seed42	5	LST1	0.10276338514680483	0.11053540587219343
res0.5_seed42	5	CSF1R	0.16666666666666666	0.2392055267702936
res0.5_seed42	5	MS4A1	0.0008635578583765112	0.0008635578583765112
res0.5_seed42	5	CD79A	0.0017271157167530224	0.0017271157167530224
res0.5_seed42	5	NKG7	0.0051813471502590676	0.0051813471502590676
res0.5_seed42	5	MKI67	0.055267702936096716	0.07512953367875648
res0.5_seed42	6	CD3D	0.03398926654740608	0.03935599284436494
res0.5_seed42	6	CD3E	0.07513416815742398	0.10554561717352415
res0.5_seed42	6	CD3G	0.025044722719141325	0.025044722719141325
res0.5_seed42	6	CD247	0.057245080500894455	0.06797853309481217
res0.5_seed42	6	LCK	0.017889087656529516	0.017889087656529516
res0.5_seed42	6	CD2	0.0626118067978533	0.06618962432915922
res0.5_seed42	6	CD4	0.007155635062611807	0.007155635062611807
res0.5_seed42	6	CD8A	0.0	0.0
res0.5_seed42	6	CD8B	0.046511627906976744	0.05008944543828265
res0.5_seed42	6	LYZ	0.04114490161001789	0.046511627906976744
res0.5_seed42	6	LST1	0.20572450805008943	0.26475849731663686
res0.5_seed42	6	CSF1R	0.4847942754919499	1.887298747763864
res0.5_seed42	6	MS4A1	0.0	0.0
res0.5_seed42	6	CD79A	0.005366726296958855	0.007155635062611807
res0.5_seed42	6	NKG7	0.008944543828264758	0.01073345259391771
res0.5_seed42	6	MKI67	0.40250447227191416	1.1466905187835421
res0.5_seed42	7	CD3D	0.012096774193548387	0.012096774193548387
res0.5_seed42	7	CD3E	0.024193548387096774	0.03225806451612903
res0.5_seed42	7	CD3G	0.004032258064516129	0.004032258064516129
res0.5_seed42	7	CD247	0.012096774193548387	0.016129032258064516
res0.5_seed42	7	LCK	0.016129032258064516	0.020161290322580645
res0.5_seed42	7	CD2	0.036290322580645164	0.04032258064516129
res0.5_seed42	7	CD4	0.004032258064516129	0.004032258064516129
res0.5_seed42	7	CD8A	0.0	0.0
res0.5_seed42	7	CD8B	0.020161290322580645	0.020161290322580645
res0.5_seed42	7	LYZ	0.004032258064516129	0.004032258064516129
res0.5_seed42	7	LST1	0.05241935483870968	0.07258064516129033
res0.5_seed42	7	CSF1R	0.8991935483870968	5.838709677419355
res0.5_seed42	7	MS4A1	0.0	0.0
res0.5_seed42	7	CD79A	0.0	0.0
res0.5_seed42	7	NKG7	0.008064516129032258	0.008064516129032258
res0.5_seed42	7	MKI67	0.04838709677419355	0.06048387096774194
res0.5_seed42	8	CD3D	0.25806451612903225	0.3741935483870968
res0.5_seed42	8	CD3E	0.6064516129032258	1.3741935483870968
res0.5_seed42	8	CD3G	0.33548387096774196	0.5032258064516129
res0.5_seed42	8	CD247	0.36129032258064514	0.5225806451612903
res0.5_seed42	8	LCK	0.23870967741935484	0.2838709677419355
res0.5_seed42	8	CD2	0.2967741935483871	0.4064516129032258
res0.5_seed42	8	CD4	0.07096774193548387	0.09032258064516129
res0.5_seed42	8	CD8A	0.012903225806451613	0.012903225806451613
res0.5_seed42	8	CD8B	0.05161290322580645	0.06451612903225806
res0.5_seed42	8	LYZ	0.0	0.0
res0.5_seed42	8	LST1	0.07096774193548387	0.08387096774193549
res0.5_seed42	8	CSF1R	0.10967741935483871	0.13548387096774195
res0.5_seed42	8	MS4A1	0.0	0.0
res0.5_seed42	8	CD79A	0.05806451612903226	0.05806451612903226
res0.5_seed42	8	NKG7	0.09032258064516129	0.13548387096774195
res0.5_seed42	8	MKI67	0.08387096774193549	0.2129032258064516
