gene	condition	n_reported_donors	median_CPM	min_CPM	max_CPM
COLGALT2	single_CAR	3	0.0877831628066391	0.04039432781233086	0.12611639016804188
COLGALT2	dual_CAR	3	0.05360228913221271	0.0	0.11092281593363656
EDEM3	control	3	76.15246800498288	54.818970633082216	90.73463507082575
EDEM3	single_CAR	3	71.3150414641136	68.34720265846381	116.13217594640524
EDEM3	dual_CAR	3	84.45663205187088	56.38773919570188	93.26798309005011
GALNT8	control	3	0.08880316620584854	0.08248304143512904	0.10754089383635551
GALNT8	single_CAR	3	0.0	0.0	0.0
GALNT8	dual_CAR	3	0.02218456318672731	0.0	0.08933714855368785
GIMD1	control	3	0.12372456215269355	0.053770446918177756	0.17760633241169707
GIMD1	single_CAR	3	0.12289642792929474	0.08078865562466173	0.12611639016804188
GIMD1	dual_CAR	3	0.08933714855368785	0.02218456318672731	0.1517839547663577
GSTCD	control	3	5.4645014950772985	4.086553965781509	7.503867544394201
GSTCD	single_CAR	3	9.954610662272874	6.624669761222261	10.131350010166033
GSTCD	dual_CAR	3	11.737959168598328	6.092793531361512	21.71868735980604
INTS12	control	3	12.797366366526305	12.125007090963969	15.09653825499425
INTS12	single_CAR	3	14.419307275879456	12.90598773603971	19.206956022092633
INTS12	dual_CAR	3	14.723043612336696	14.454750635986693	17.08211365378003
KCNA1	control	3	0.0	0.0	0.02062076035878226
KCNA1	single_CAR	3	0.0	0.0	0.0
KCNA1	dual_CAR	3	0.0	0.0	0.08933714855368785
KCNA5	control	3	0.0	0.0	0.0
KCNA5	single_CAR	3	0.0	0.0	0.0
KCNA5	dual_CAR	3	0.0	0.0	0.0
KCNA6	control	3	0.0	0.0	0.0
KCNA6	single_CAR	3	0.0	0.0	0.0
KCNA6	dual_CAR	3	0.0	0.0	0.0
LCK	control	3	470.89468888594166	324.508970107722	501.166959759844
LCK	single_CAR	3	420.3029808873026	172.16989197773853	455.06791598961706
LCK	dual_CAR	3	363.674355620193	125.4093356945695	508.113966113955
LOC119867197	control	3	0.4839340222635998	0.46621662258070484	0.721726612557379
LOC119867197	single_CAR	3	0.772491832698424	0.5453234254664666	1.1140281131510368
LOC119867197	dual_CAR	3	0.7336224480373955	0.7320905851620013	0.750432047850978
LOC119872513	control	3	0.0	0.0	0.0
LOC119872513	single_CAR	3	0.0	0.0	0.0
LOC119872513	dual_CAR	3	0.0	0.0	0.0
LOC119876429	control	3	0.4536567278932097	0.3774134563748563	0.6990158099363107
LOC119876429	single_CAR	3	0.38374611421714316	0.23121338197474348	0.5618122419624902
LOC119876429	dual_CAR	3	0.3105838846141824	0.0	0.4300545385046801
NCF2	control	3	11.898178727017363	6.264257065967708	17.028007119971456
NCF2	single_CAR	3	2.036569377114027	1.595575948587069	23.92007533520528
NCF2	dual_CAR	3	5.681842648014547	0.7083251222430026	24.846710769134592
NIBAN1	control	3	400.9662226688515	277.78226279315584	453.7175769372316
NIBAN1	single_CAR	3	429.1291415142969	277.3596812038569	481.6595134501133
NIBAN1	dual_CAR	3	358.31132255178176	334.3889470364536	411.5014625506049
NPNT	control	3	0.12372456215269355	0.026885223459088878	0.28861029016900774
NPNT	single_CAR	3	0.021019398361340317	0.02019716390616543	0.05266989768398346
NPNT	dual_CAR	3	0.0	0.0	0.11092281593363656
NTF3	control	3	0.0	0.0	0.0
NTF3	single_CAR	3	0.0	0.0	0.08078865562466173
NTF3	dual_CAR	3	0.0	0.0	0.0
PLEKHG6	control	3	0.5328189972350912	0.4948982486107742	1.6399986310044214
PLEKHG6	single_CAR	3	0.772491832698424	0.21019398361340316	1.5147872929624073
PLEKHG6	dual_CAR	3	0.2858788753718011	0.1774765054938185	0.7842170996261815
PPA2	control	3	51.160106450138784	48.95274537097401	60.411097112572705
PPA2	single_CAR	3	57.157973854448166	38.88588696847958	58.63915275483492
PPA2	dual_CAR	3	52.1728947553537	49.27191483772136	57.247848272711245
RGL1	control	3	1.2784871422445	0.18819656421362213	3.196913983410547
RGL1	single_CAR	3	2.2999188655339444	1.1512383426514297	5.864412142813948
RGL1	dual_CAR	3	2.3526512988785444	1.5544663848341684	5.191187785694191
SMG7	control	3	175.09087620642015	168.11330228968274	177.89494270186609
SMG7	single_CAR	3	193.1682709407175	186.21785121484527	226.74390952954877
SMG7	dual_CAR	3	196.5059919586918	195.902490951779	204.14235044426474
TBCK	control	3	20.80214168372002	20.190802817775747	23.693253652240816
TBCK	single_CAR	3	19.001536118651646	18.177447515548888	19.979447854791058
TBCK	dual_CAR	3	20.409798131789127	18.745318413645176	21.208639066645496
TET2	control	3	63.744864821499725	60.70751849625497	64.67090578940919
TET2	single_CAR	3	64.63464996112147	60.48259917377434	67.0141898406569
TET2	dual_CAR	3	62.428799409317065	55.794176414619194	63.92634228243098
TNFRSF1A	control	3	23.693253652240816	15.052136671891327	25.057028263870833
TNFRSF1A	single_CAR	3	14.65978818870873	7.0835372477716865	24.903103096301976
TNFRSF1A	dual_CAR	3	19.529535513271355	6.122939439536738	23.90662095296687
TSEN15	control	3	43.468562836313005	41.6264841589915	44.14553691982393
TSEN15	single_CAR	3	45.30223864152906	37.120257506127	48.21051301340619
TSEN15	dual_CAR	3	42.48343850258281	39.647826528126664	44.422104094954015
VWF	control	3	0.08880316620584854	0.0	0.16496608287025807
VWF	single_CAR	3	0.0	0.0	0.08407759344536127
VWF	dual_CAR	3	0.11092281593363656	0.0	0.12648662897196475
