gene	sample	reported_donor	mapping_status	raw_count	CPM	observation
COLGALT2	M_B7H3_CAR_T	M	exact_unique	6	0.12611639016804188	positive_assigned_pairs
COLGALT2	M_BC_CAR_T	M	exact_unique	5	0.11092281593363656	positive_assigned_pairs
COLGALT2	M_T_cell	M	exact_unique	13	0.28861029016900774	positive_assigned_pairs
EDEM3	B_B7H3_CAR_T	B	exact_unique	4062	71.3150414641136	positive_assigned_pairs
EDEM3	B_BC_CAR_T	B	exact_unique	5220	93.26798309005011	positive_assigned_pairs
EDEM3	B_T_cell	B	exact_unique	3693	76.15246800498288	positive_assigned_pairs
EDEM3	E_B7H3_CAR_T	E	exact_unique	3384	68.34720265846381	positive_assigned_pairs
EDEM3	E_BC_CAR_T	E	exact_unique	2229	56.38773919570188	positive_assigned_pairs
EDEM3	E_T_cell	E	exact_unique	2039	54.818970633082216	positive_assigned_pairs
EDEM3	M_B7H3_CAR_T	M	exact_unique	5525	116.13217594640524	positive_assigned_pairs
EDEM3	M_BC_CAR_T	M	exact_unique	3807	84.45663205187088	positive_assigned_pairs
EDEM3	M_T_cell	M	exact_unique	4087	90.73463507082575	positive_assigned_pairs
GALNT8	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
GALNT8	B_BC_CAR_T	B	exact_unique	5	0.08933714855368785	positive_assigned_pairs
GALNT8	B_T_cell	B	exact_unique	4	0.08248304143512904	positive_assigned_pairs
GALNT8	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
GALNT8	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
GALNT8	E_T_cell	E	exact_unique	4	0.10754089383635551	positive_assigned_pairs
GALNT8	M_B7H3_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
GALNT8	M_BC_CAR_T	M	exact_unique	1	0.02218456318672731	positive_assigned_pairs
GALNT8	M_T_cell	M	exact_unique	4	0.08880316620584854	positive_assigned_pairs
GIMD1	B_B7H3_CAR_T	B	exact_unique	7	0.12289642792929474	positive_assigned_pairs
GIMD1	B_BC_CAR_T	B	exact_unique	5	0.08933714855368785	positive_assigned_pairs
GIMD1	B_T_cell	B	exact_unique	6	0.12372456215269355	positive_assigned_pairs
GIMD1	E_B7H3_CAR_T	E	exact_unique	4	0.08078865562466173	positive_assigned_pairs
GIMD1	E_BC_CAR_T	E	exact_unique	6	0.1517839547663577	positive_assigned_pairs
GIMD1	E_T_cell	E	exact_unique	2	0.053770446918177756	positive_assigned_pairs
GIMD1	M_B7H3_CAR_T	M	exact_unique	6	0.12611639016804188	positive_assigned_pairs
GIMD1	M_BC_CAR_T	M	exact_unique	1	0.02218456318672731	positive_assigned_pairs
GIMD1	M_T_cell	M	exact_unique	8	0.17760633241169707	positive_assigned_pairs
GSTCD	B_B7H3_CAR_T	B	exact_unique	567	9.954610662272874	positive_assigned_pairs
GSTCD	B_BC_CAR_T	B	exact_unique	341	6.092793531361512	positive_assigned_pairs
GSTCD	B_T_cell	B	exact_unique	265	5.4645014950772985	positive_assigned_pairs
GSTCD	E_B7H3_CAR_T	E	exact_unique	328	6.624669761222261	positive_assigned_pairs
GSTCD	E_BC_CAR_T	E	exact_unique	464	11.737959168598328	positive_assigned_pairs
GSTCD	E_T_cell	E	exact_unique	152	4.086553965781509	positive_assigned_pairs
GSTCD	M_B7H3_CAR_T	M	exact_unique	482	10.131350010166033	positive_assigned_pairs
GSTCD	M_BC_CAR_T	M	exact_unique	979	21.71868735980604	positive_assigned_pairs
GSTCD	M_T_cell	M	exact_unique	338	7.503867544394201	positive_assigned_pairs
INTS12	B_B7H3_CAR_T	B	exact_unique	1094	19.206956022092633	positive_assigned_pairs
INTS12	B_BC_CAR_T	B	exact_unique	809	14.454750635986693	positive_assigned_pairs
INTS12	B_T_cell	B	exact_unique	588	12.125007090963969	positive_assigned_pairs
INTS12	E_B7H3_CAR_T	E	exact_unique	639	12.90598773603971	positive_assigned_pairs
INTS12	E_BC_CAR_T	E	exact_unique	582	14.723043612336696	positive_assigned_pairs
INTS12	E_T_cell	E	exact_unique	476	12.797366366526305	positive_assigned_pairs
INTS12	M_B7H3_CAR_T	M	exact_unique	686	14.419307275879456	positive_assigned_pairs
INTS12	M_BC_CAR_T	M	exact_unique	770	17.08211365378003	positive_assigned_pairs
INTS12	M_T_cell	M	exact_unique	680	15.09653825499425	positive_assigned_pairs
KCNA1	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA1	B_BC_CAR_T	B	exact_unique	5	0.08933714855368785	positive_assigned_pairs
KCNA1	B_T_cell	B	exact_unique	1	0.02062076035878226	positive_assigned_pairs
KCNA1	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA1	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA1	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA1	M_B7H3_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA1	M_BC_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA1	M_T_cell	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	B_T_cell	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	M_B7H3_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	M_BC_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA5	M_T_cell	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	B_T_cell	B	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	M_B7H3_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	M_BC_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
KCNA6	M_T_cell	M	exact_unique	0	0.0	zero_assigned_pairs
LCK	B_B7H3_CAR_T	B	exact_unique	25920	455.06791598961706	positive_assigned_pairs
LCK	B_BC_CAR_T	B	exact_unique	28438	508.113966113955	positive_assigned_pairs
LCK	B_T_cell	B	exact_unique	24304	501.166959759844	positive_assigned_pairs
LCK	E_B7H3_CAR_T	E	exact_unique	20810	420.3029808873026	positive_assigned_pairs
LCK	E_BC_CAR_T	E	exact_unique	14376	363.674355620193	positive_assigned_pairs
LCK	E_T_cell	E	exact_unique	17515	470.89468888594166	positive_assigned_pairs
